21,46,9,1,0
17,5,22,2,0
14,6,11,2,0
17,6,12,2,14
17,8,11,2,14
21,8,15,1,20
17,9,27,3,0
20,2,18,2,5
21,2,25,4,5
21,4,26,4,0
16,9,10,1,0
20,10,23,4,22
17,10,30,3,0
20,12,25,4,0
17,14,26,3,37
13,14,27,4,36
15,14,25,4,0
14,14,25,4,36
4,22,25,1,38
6,21,14,1,38
9,31,17,4,0
20,31,22,1,69
17,35,28,4,0
7,35,28,3,0
21,35,26,4,75
20,35,27,4,75
22,36,27,1,0
7,37,19,4,80
7,38,18,4,80
8,39,11,1,80
8,40,17,4,0
5,40,37,2,0
11,40,22,3,0
1,40,27,2,88
7,40,26,2,80
20,41,24,4,0
16,42,13,1,0
20,43,25,3,92
17,44,29,2,0
8,45,21,4,0
11,45,24,4,0
22,46,11,1,0
17,45,26,1,0
11,46,25,4,0
8,48,24,3,0
14,48,24,4,0
3,48,27,4,0
5,48,24,4,0
9,48,29,1,0
17,48,29,4,0
11,48,27,2,110
21,6,29,1,12
16,13,11,3,0
14,11,14,4,0
14,8,27,1,19
15,6,9,1,0
20,14,25,1,0
16,5,8,1,14
16,11,19,1,21
17,2,28,2,3
14,5,25,2,2
1,27,18,1,55
7,27,16,1,57
8,28,12,1,0
11,29,37,1,68
20,30,21,1,69
21,31,21,4,69
21,31,21,1,69
22,31,27,4,69
20,22,29,3,48
20,18,27,4,40
20,19,27,4,40
20,20,26,3,0
21,18,28,3,40
23,18,29,2,40
21,22,28,2,48
2,21,13,1,47
10,28,10,1,68
10,27,22,4,0
17,27,32,1,58
20,28,13,1,0
2,35,21,1,73
3,35,28,4,73
4,35,30,4,73
5,37,19,4,0
4,38,33,2,73
3,40,36,2,73
2,43,20,1,94
3,44,26,3,0
2,45,22,1,94
4,45,25,4,0
5,44,27,4,0
1,48,30,1,94
2,48,25,1,0
7,48,31,2,105
10,43,39,2,95
9,40,31,2,0
9,35,24,4,74
16,36,25,4,0
17,38,28,3,0
20,37,29,3,82
20,38,26,4,0
23,39,20,1,0
20,40,25,4,0
16,40,29,3,81
14,40,29,3,0
14,39,25,4,0
14,38,27,4,0
14,41,13,2,83
14,42,30,4,83
14,44,26,3,0
14,45,24,4,0
15,48,29,4,0
16,48,24,4,0
20,45,30,3,92
20,44,26,3,92
20,48,28,4,0
21,48,20,4,0
13,46,9,1,0
1,47,26,2,94
9,44,31,3,0
23,14,31,1,32
35,14,17,4,30
42,15,10,1,0
47,14,26,2,31
49,14,20,1,0
29,15,30,3,25
26,18,28,3,41
34,19,28,2,42
45,20,24,3,0
23,20,30,4,0
30,20,29,3,0
26,20,27,3,41
39,21,27,4,0
42,22,26,4,0
49,12,25,4,0
42,12,26,4,0
27,11,25,4,0
39,13,25,4,0
42,13,28,4,0
29,13,29,4,25
29,48,28,4,0
27,46,28,2,0
23,44,26,2,0
46,48,26,4,0
49,2,28,3,0
35,2,24,3,0
30,2,27,4,0
48,3,20,2,0
36,3,22,4,0
30,3,26,4,0
23,3,24,4,0
36,4,25,4,0
48,4,11,2,0
42,5,24,4,0
38,6,28,3,7
42,6,14,4,0
48,6,26,3,17
49,6,28,2,0
41,6,24,4,0
29,6,23,1,0
24,8,9,1,0
39,10,25,4,27
23,10,24,4,23
36,10,30,2,0
39,11,25,4,0
40,10,24,4,27
23,11,26,3,23
27,14,30,4,0
45,14,10,1,0
32,38,18,4,86
34,38,10,1,0
37,37,9,1,0
36,2,25,4,0
47,2,16,4,9
32,2,24,4,0
34,2,19,3,6
30,23,26,4,0
27,22,19,1,41
35,23,33,2,51
46,23,31,3,49
42,23,24,3,54
36,23,24,2,51
41,27,27,4,67
29,27,28,3,66
30,27,29,4,0
23,27,19,3,65
42,27,29,1,67
42,27,26,4,67
45,27,24,1,0
23,29,21,4,0
28,31,27,4,59
23,31,31,1,69
30,31,15,1,0
27,32,29,2,0
48,31,13,1,62
30,35,31,2,0
26,35,22,3,0
27,35,17,4,76
23,36,27,3,0
29,36,17,4,0
30,36,30,2,0
37,36,27,4,0
32,36,25,3,0
39,36,10,1,78
23,37,25,3,0
28,39,8,1,89
39,39,29,4,0
29,40,13,4,0
28,40,15,1,0
23,41,20,1,90
26,41,21,3,79
29,41,21,4,91
26,43,23,3,0
